"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: 在宅急症資料集與 FHIR 資源對照","Mapping: RIM Mapping"
"HAHCareDataset.procedure.outcome","HAHCareDataset.procedure.outcome","","","",0,1,"","","","CodeableConcept {[]} {[]}
","處置結果","處置結果。[已知代碼時填 coding.system 及 coding.code，可用 text 補充說明。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.procedure.outcome",0,1,"","","Procedure.outcome"
"HAHCareDataset.allergy","HAHCareDataset.allergy","","","",0,*,"","","","BackboneElement {[]} {[]}
","過敏資訊","過敏資訊。[以下欄位為此項資料的內嵌元素。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.allergy",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","HAHAllergyIntolerance"
"HAHCareDataset.allergy.id","HAHCareDataset.allergy.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"HAHCareDataset.allergy.extension","HAHCareDataset.allergy.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"HAHCareDataset.allergy.modifierExtension","HAHCareDataset.allergy.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"HAHCareDataset.allergy.substance","HAHCareDataset.allergy.substance","","","",1,1,"","","","CodeableConcept {[]} {[]}
","物質或過敏狀態","物質或過敏狀態。[已知代碼時填 coding.system 及 coding.code，可用 text 補充說明。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.allergy.substance",1,1,"","","AllergyIntolerance.code"
"HAHCareDataset.allergy.verification","HAHCareDataset.allergy.verification","","","",1,1,"","","","CodeableConcept {[]} {[]}
","確認狀態","確認狀態。[已知代碼時填 coding.system 及 coding.code，可用 text 補充說明。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.allergy.verification",1,1,"","","AllergyIntolerance.verificationStatus"
"HAHCareDataset.allergy.manifestation","HAHCareDataset.allergy.manifestation","","","",0,*,"","","","CodeableConcept {[]} {[]}
","反應表現","反應表現。[已知代碼時填 coding.system 及 coding.code，可用 text 補充說明。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.allergy.manifestation",0,*,"","","AllergyIntolerance.reaction.manifestation"
"HAHCareDataset.consent","HAHCareDataset.consent","","","",0,*,"","","","BackboneElement {[]} {[]}
","照護同意","照護同意。[以下欄位為此項資料的內嵌元素。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.consent",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","HAHConsent"
"HAHCareDataset.consent.id","HAHCareDataset.consent.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"HAHCareDataset.consent.extension","HAHCareDataset.consent.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"HAHCareDataset.consent.modifierExtension","HAHCareDataset.consent.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"HAHCareDataset.consent.status","HAHCareDataset.consent.status","","","",1,1,"","","","code {[]} {[]}
","同意狀態","同意狀態。[填入所綁定值集允許的代碼。]","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/consent-state-codes","",,,,"HAHCareDataset.consent.status",1,1,"","","Consent.status"
"HAHCareDataset.consent.scope","HAHCareDataset.consent.scope","","","",1,1,"","","","CodeableConcept {[]} {[]}
","同意範圍","同意範圍。[已知代碼時填 coding.system 及 coding.code，可用 text 補充說明。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.consent.scope",1,1,"","","Consent.scope"
"HAHCareDataset.consent.source","HAHCareDataset.consent.source","","","",1,1,"","","","Reference {[]} {[CanonicalType[http://ltc-ig.fhir.tw/StructureDefinition/HAHDocumentReference]]}
","來源文件","來源文件。[參照記錄原始同意文件的 DocumentReference。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.consent.source",1,1,"","","Consent.sourceReference"
"HAHCareDataset.communication","HAHCareDataset.communication","","","",0,*,"","","","BackboneElement {[]} {[]}
","照會與交班","照會與交班。[以下欄位為此項資料的內嵌元素。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.communication",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","HAHCommunication"
"HAHCareDataset.communication.id","HAHCareDataset.communication.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"HAHCareDataset.communication.extension","HAHCareDataset.communication.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"HAHCareDataset.communication.modifierExtension","HAHCareDataset.communication.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"HAHCareDataset.communication.category","HAHCareDataset.communication.category","","","",1,*,"","","","CodeableConcept {[]} {[]}
","溝通類型","溝通類型。[已知代碼時填 coding.system 及 coding.code，可用 text 補充說明。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.communication.category",1,*,"","","Communication.category"
"HAHCareDataset.communication.sender","HAHCareDataset.communication.sender","","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Practitioner], CanonicalType[http://hl7.org/fhir/StructureDefinition/PractitionerRole], CanonicalType[http://hl7.org/fhir/StructureDefinition/Organization], CanonicalType[http://hl7.org/fhir/StructureDefinition/RelatedPerson]]}
","發送者","發送者。[應填入對應的 Practitioner／PractitionerRole／Organization／RelatedPerson Reference。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.communication.sender",1,1,"","","Communication.sender"
"HAHCareDataset.communication.recipient","HAHCareDataset.communication.recipient","","","",1,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Resource]]}
","接收者","接收者。[應填入對應的 Resource Reference。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.communication.recipient",1,*,"","","Communication.recipient"
"HAHCareDataset.communication.sent","HAHCareDataset.communication.sent","","","",1,1,"","","","dateTime {[]} {[]}
","發送時間","發送時間。[填入實際時間；包含時分時須提供時區。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.communication.sent",1,1,"","","Communication.sent"
"HAHCareDataset.communication.content","HAHCareDataset.communication.content","","","",1,*,"","","","string {[]} {[]}
","內容","內容。[填入交班或照會內容；需結構化的診斷及醫囑另建資源。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.communication.content",1,*,"","","Communication.payload.contentString"
"HAHCareDataset.communication.request","HAHCareDataset.communication.request","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://ltc-ig.fhir.tw/StructureDefinition/HAHServiceRequest]]}
","依據請求","依據請求。[應填入對應的 HAHServiceRequest Reference。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.communication.request",0,*,"","","Communication.basedOn"
"HAHCareDataset.task","HAHCareDataset.task","","","",0,*,"","","","BackboneElement {[]} {[]}
","照護工作","照護工作。[以下欄位為此項資料的內嵌元素。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.task",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","HAHVisitTask"
"HAHCareDataset.task.id","HAHCareDataset.task.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"HAHCareDataset.task.extension","HAHCareDataset.task.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"HAHCareDataset.task.modifierExtension","HAHCareDataset.task.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"HAHCareDataset.task.code","HAHCareDataset.task.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","工作類型","工作類型。[已知代碼時填 coding.system 及 coding.code，可用 text 補充說明。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.task.code",1,1,"","","Task.code"
"HAHCareDataset.task.status","HAHCareDataset.task.status","","","",1,1,"","","","code {[]} {[]}
","工作狀態","工作狀態。[填入所綁定值集允許的代碼。]","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/task-status","",,,,"HAHCareDataset.task.status",1,1,"","","Task.status"
"HAHCareDataset.task.owner","HAHCareDataset.task.owner","","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Practitioner], CanonicalType[http://hl7.org/fhir/StructureDefinition/PractitionerRole], CanonicalType[http://hl7.org/fhir/StructureDefinition/Organization], CanonicalType[http://hl7.org/fhir/StructureDefinition/CareTeam]]}
","負責人或團隊","負責人或團隊。[應填入對應的 Practitioner／PractitionerRole／Organization／CareTeam Reference。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.task.owner",1,1,"","","Task.owner"
"HAHCareDataset.task.scheduled","HAHCareDataset.task.scheduled","","","",0,1,"","","","Period {[]} {[]}
","預定執行期限","預定執行期限。[填預計執行的時間範圍，不當作已完成紀錄。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.task.scheduled",0,1,"","","Task.restriction.period"
"HAHCareDataset.task.actual","HAHCareDataset.task.actual","","","",0,1,"","","","Period {[]} {[]}
","實際執行期間","實際執行期間。[填實際開始與結束時間；已完成工作兩者均須有值。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.task.actual",0,1,"","","Task.executionPeriod"
"HAHCareDataset.task.location","HAHCareDataset.task.location","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Location]]}
","工作地點","工作地點。[應填入對應的 Location Reference。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.task.location",0,1,"","","Task.location"
"HAHCareDataset.attachment","HAHCareDataset.attachment","","","",0,*,"","","","BackboneElement {[]} {[]}
","照護附件","照護附件。[以下欄位為此項資料的內嵌元素。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.attachment",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","HAHDocumentReference"
"HAHCareDataset.attachment.id","HAHCareDataset.attachment.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"HAHCareDataset.attachment.extension","HAHCareDataset.attachment.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"HAHCareDataset.attachment.modifierExtension","HAHCareDataset.attachment.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"HAHCareDataset.attachment.type","HAHCareDataset.attachment.type","","","",1,1,"","","","CodeableConcept {[]} {[]}
","附件種類","附件種類。[已知代碼時填 coding.system 及 coding.code，可用 text 補充說明。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.attachment.type",1,1,"","","DocumentReference.type"
"HAHCareDataset.attachment.content","HAHCareDataset.attachment.content","","","",1,*,"","","","Attachment {[]} {[]}
","附件內容或網址","附件內容或網址。[填 MIME 類型與 base64 內容或可取得的 URL。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.attachment.content",1,*,"","","DocumentReference.content.attachment"
"HAHCareDataset.attachment.author","HAHCareDataset.attachment.author","","","",1,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Resource]]}
","作者","作者。[應填入對應的 Resource Reference。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.attachment.author",1,*,"","","DocumentReference.author"
"HAHCareDataset.summary","HAHCareDataset.summary","","","",0,1,"","","","BackboneElement {[]} {[]}
","結案與轉銜摘要","結案與轉銜摘要。[以下欄位為此項資料的內嵌元素。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.summary",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","HAHCompositionSummary、HAHBundleSummary"
"HAHCareDataset.summary.id","HAHCareDataset.summary.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"HAHCareDataset.summary.extension","HAHCareDataset.summary.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"HAHCareDataset.summary.modifierExtension","HAHCareDataset.summary.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"HAHCareDataset.summary.type","HAHCareDataset.summary.type","","","",1,1,"","","","CodeableConcept {[]} {[]}
","摘要種類","摘要種類。[已知代碼時填 coding.system 及 coding.code，可用 text 補充說明。]","","","","","","","","","",,"required","","http://ltc-ig.fhir.tw/ValueSet/hah-summary-type","",,,,"HAHCareDataset.summary.type",1,1,"","","Composition.type"
"HAHCareDataset.summary.date","HAHCareDataset.summary.date","","","",1,1,"","","","dateTime {[]} {[]}
","文件時間","文件時間。[填入實際時間；包含時分時須提供時區。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.summary.date",1,1,"","","Composition.date"
"HAHCareDataset.summary.followUp","HAHCareDataset.summary.followUp","","","",1,1,"","","","string {[]} {[]}
","後續照護與待辦","後續照護與待辦。[說明接續照護、待辦及尚未知的結果。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.summary.followUp",1,1,"","","Composition.section[followUp].text"
"HAHCareDataset.summary.documentId","HAHCareDataset.summary.documentId","","","",1,1,"","","","Identifier {[]} {[]}
","文件識別碼","文件識別碼。[填唯一的文件識別系統與值；重製文件另給新的識別碼。]","","","","","","","","","",,,,,"",,,,"HAHCareDataset.summary.documentId",1,1,"","","Bundle.identifier"
